iter	Passed	Remaining
927	3820	296
928	3824	292
929	3827	288
930	3830	283
931	3834	279
932	3837	275
933	3841	271
934	3844	267
935	3848	263
936	3851	258
937	3855	254
938	3858	250
939	3862	246
940	3865	242
941	3868	238
942	3872	234
943	3876	229
944	3879	225
945	3883	221
946	3886	217
947	3889	213
948	3893	209
949	3896	205
950	3900	200
951	3903	196
952	3907	192
953	3911	188
954	3914	184
955	3918	180
956	3921	176
957	3925	172
958	3929	167
959	3932	163
960	3936	159
961	3949	156
962	3953	151
963	3956	147
964	3959	143
965	3964	139
966	3968	135
967	3971	131
968	3975	127
969	3978	123
970	3982	118
971	3986	114
972	3989	110
973	3993	106
974	3996	102
975	4000	98
976	4003	94
977	4007	90
978	4010	86
979	4014	81
980	4018	77
981	4022	73
982	4025	69
983	4029	65
984	4032	61
985	4036	57
986	4039	53
987	4043	49
988	4046	45
989	4050	40
990	4054	36
991	4057	32
992	4061	28
993	4064	24
994	4067	20
995	4071	16
996	4075	12
997	4078	8
998	4082	4
999	4086	0
